ID,LINE,STATIONA,STATIONB,UNIMPEDED,PEAK,OFFPEAK
1,4,ACT,CHP,1.8,2,2
2,9,ACT,ECM,1.72,2.02,2.01
3,4,ACT,ECM,1.5,2,2
4,9,ACT,HMS,5.65,6,5.53
5,9,ACT,SEL,2.8,3.08,3.02
6,9,AGR,BGR,2.25,2,2
7,9,AGR,SGT,2.8,2.52,2.51
8,7,ALD,LST,1.75,2,2.38
9,3,ALD,LST,1.75,2,2.42
10,3,ALD,THL,1.37,2.02,2.1
11,5,ALE,LST,2.12,3.02,3.88
12,4,ALE,THL,1.87,3.03,3.65
13,5,ALE,WCL,2.17,2.5,2.01
14,4,ALE,WCL,2.17,2.72,2.76
15,9,ALP,PRY,2.2,2.5,2.5
16,9,ALP,STN,2.03,2.5,2.5
17,7,AME,CLF,3.65,4,4
18,8,ANG,KXX,2.15,2.5,2.5
19,8,ANG,OLD,2.87,3,3
20,8,ARC,HIG,2.75,3,3
21,8,ARC,TPK,1.6,1.5,1.5
22,9,ARL,FPK,1.38,1.5,1.5
23,9,ARL,HRD,1.3,1.5,1.5
24,8,BAL,CPS,1.8,2,2
25,8,BAL,TBE,1.67,2,2
26,7,BAR,FAR,1.2,1.95,1.5
27,5,BAR,FAR,1.2,1.92,1.51
28,3,BAR,FAR,1.2,1.92,1.51
29,7,BAR,MGT,1.32,1.5,1.5
30,5,BAR,MGT,1.32,1.53,1.5
31,3,BAR,MGT,1.32,1.53,1.5
32,4,BAY,NHG,1.47,2,2
33,3,BAY,NHG,1.47,2,2
34,4,BAY,PAD,1.63,2.45,2.01
35,3,BAY,PADc,1.63,2.45,2.01
36,5,BBB,BWR,2.23,2.5,2.5
37,4,BBB,BWR,2.23,2.5,2.5
38,5,BBB,WHM,2,2,2
39,4,BBB,WHM,2,2,2
40,9,BCT,ECT,2.55,3,3
41,4,BCT,HMD,1.33,1.5,1.5
42,9,BCT,HMS,1.32,2,2
43,4,BCT,WKN,1.28,1.5,1.5
44,2,BDE,FLP,1.57,1.84,1.79
45,2,BDE,NEP,1.58,2.25,2.35
46,6,BDS,BST,2.28,2.5,2.5
47,6,BDS,GPK,1.78,2.5,2.5
48,2,BDS,MAR,1.02,1.66,1.5
49,2,BDS,OXC,1.1,1.5,1.5
50,4,BEC,DGH,1.88,2.5,2.51
51,4,BEC,UPY,2.33,2.5,2.5
52,6,BER,CWR,1.48,2,2
53,6,BER,LON,2.17,2.5,2.5
54,9,BGR,AGR,2.58,3.62,3.91
55,9,BGR,WGN,2.2,2.5,2.57
56,2,BHL,LTN,2.35,2.7,2.53
57,2,BHL,WFD,2.32,2.53,2.53
58,10,BHR,TTH,1.9,2.36,2
59,10,BHR,WAL,2.12,2.04,2.01
60,5,BKG,EHM,2.87,3,3
61,4,BKG,EHM,2.87,3,3
62,4,BKG,UPY,1.97,2.05,2.01
63,4,BLF,MAN,1.52,1.98,1.52
64,3,BLF,MAN,1.52,1.95,1.52
65,4,BLF,TEM,1.37,1.5,1.5
66,3,BLF,TEM,1.37,1.5,1.5
67,2,BNG,LST,2.77,3.48,3.25
68,2,BNG,MLE,1.98,2.25,2.25
69,8,BNK,LON,1.55,2.25,2
70,2,BNK,LST,1.62,2.25,2.25
71,8,BNK,MGT,1.77,2.5,2.01
72,2,BNK,STP,1.63,2,2
73,11,BNK,WLO,4.2,3.75,3.75
74,8,BOR,ELE,1.72,2,2
75,8,BOR,LON,1.4,1.5,1.5
76,9,BOS,NFD,1.98,4.46,3.38
77,9,BOS,OST,2.85,3,3
78,8,BPK,CHF,1.77,2,2
79,8,BPK,HMP,2.02,2.5,2.5
80,10,BRX,STK,2.18,2.45,2
81,6,BST,BDS,2.1,2.5,2.5
82,5,BST,ERD,1.88,3.6,3.08
83,3,BST,ERD,1.88,3.6,3.08
84,7,BST,FRD,5.55,5.55,5.51
85,7,BST,GPS,1.98,2,2
86,5,BST,GPS,1.9,2,2
87,3,BST,GPS,1.9,2,2
88,1,BST,MYB,1.08,1.5,1.5
89,1,BST,RPK,1.68,2,2
90,6,BST,SJW,2.85,3.5,3.5
91,8,BTX,GGR,2.57,3.03,3.64
