CODE,NAME,LATITUDE,LONGITUDE
ACT,ACTON TOWN,51.50307148,-0.280288296
AGR,ARNOS GROVE,51.61623016,-0.134255778
ALD,ALDGATE,51.51434239,-0.075612504
ALE,ALDGATE EAST,51.51508163,-0.072987054
ALP,ALPERTON,51.54120931,-0.299501341
AME,AMERSHAM,51.67412939,-0.606499331
ANG,ANGEL,51.53296803,-0.105567034
ARC,ARCHWAY,51.56549055,-0.135107152
ARL,ARSENAL,51.55854139,-0.105485511
BAL,BALHAM,51.44318258,-0.152670777
BAR,BARBICAN,51.5202153,-0.097707168
BAY,BAYSWATER,51.51211131,-0.187887166
BBB,BROMLEY-BY-BOW,51.5248402,-0.011667962
BCT,BARONS COURT,51.49022871,-0.213415744
BDE,BARKINGSIDE,51.5858506,0.088491071
BDS,BOND STREET,51.51379754,-0.149599201
BEC,BECONTREE,51.53958539,0.126894709
BER,BERMONDSEY,51.49796079,-0.064315686
BGR,BOUNDS GREEN,51.60703194,-0.124162627
BHL,BUCKHURST HILL,51.62657665,0.046726986
BHR,BLACKHORSE ROAD,51.58577663,-0.03961128
BKG,BARKING,51.5395211,0.080846027
BLF,BLACKFRIARS,51.51158694,-0.102980977
BNG,BETHNAL GREEN,51.52719175,-0.055377699
BNK,BANK,51.51334707,-0.088985715
BOR,BOROUGH,51.50104888,-0.094182918
BOS,BOSTON MANOR,51.49576557,-0.324732786
BPK,BELSIZE PARK,51.5501909,-0.163960072
BRX,BRIXTON,51.46273682,-0.114537705
BST,BAKER STREET,51.52312964,-0.156889783
BTX,BRENT CROSS,51.57659924,-0.213321412
BUR,BURNT OAK,51.60255194,-0.264316276
BWR,BOW ROAD,51.52704181,-0.024345178
CFS,COCKFOSTERS,51.6520245,-0.149902259
CHE,CHESHAM,51.7053801,-0.611415188
CHF,CHALK FARM,51.5441491,-0.153718653
CHG,CHIGWELL,51.61785786,0.076193657
CHP,CHISWICK PARK,51.49437075,-0.26772252
CHX,CHARING CROSS,51.50835864,-0.124788531
CLF,CHALFONT AND LATIMER,51.66790755,-0.56105332
CLW,COLLIERS WOOD,51.41875921,-0.177400721
CNT,CANNING TOWN,51.51387029,0.008320042
COL,COLINDALE,51.59523055,-0.250273109
COV,COVENT GARDEN,51.51276025,-0.124492486
CPC,CLAPHAM COMMON,51.46180369,-0.13830051
CPK,CANONS PARK,51.60765061,-0.294377158
CPN,CLAPHAM NORTH,51.46491623,-0.12989567
CPS,CLAPHAM SOUTH,51.45267651,-0.14796968
CRD,CALEDONIAN ROAD,51.54788546,-0.118346442
CRX,CROXLEY,51.64700533,-0.441589348
CST,CANNON STREET,51.5113621,-0.090236119
CTN,CAMDEN TOWN,51.53996937,-0.142437964
CWD,CHORLEYWOOD,51.65426599,-0.518319474
CWF,CANARY WHARF,51.50357841,-0.019452435
CWR,CANADA WATER,51.49816842,-0.050792717
CYL,CHANCERY LANE,51.51849403,-0.111947617
DEB,DEBDEN,51.64549199,0.083815925
DGE,DAGENHAM EAST,51.54418732,0.16584785
DGH,DAGENHAM HEATHWAY,51.54121177,0.147694138
DHL,DOLLIS HILL,51.55185062,-0.238783341
EAC,EAST ACTON,51.51626344,-0.248097815
EBY,EALING BROADWAY,51.51486201,-0.301995973
ECM,EALING COMMON,51.51024869,-0.28713701
ECT,EARLS COURT,51.4913567,-0.194299408
EDG,EDGWARE,51.61422966,-0.275079226
EFY,EAST FINCHLEY,51.58733256,-0.164729454
EHM,EAST HAM,51.53924616,0.05153071
ELE,ELEPHANT AND CASTLE,51.49584939,-0.100724312
EMB,EMBANKMENT,51.50731251,-0.12235293
EPK,ELM PARK,51.54912456,0.197267102
EPP,EPPING,51.69368615,0.113840019
EPY,EAST PUTNEY,51.45887981,-0.210983843
ERB,EDGWARE ROAD (BAKERLOO),51.52064538,-0.170525141
ERD,EDGWARE ROAD (CIRCLE/DISTRICT/HAMMERSMITH AND CITY),51.51999806,-0.167653844
ESQ,EUSTON SQUARE,51.52866435,-0.133282058
ETE,EASTCOTE,51.57655187,-0.396808871
EUS,EUSTON,51.52866435,-0.133282058
FAR,FARRINGDON,51.5201957,-0.104828651
FBY,FULHAM BROADWAY,51.48026093,-0.195529766
FLP,FAIRLOP,51.59610953,0.090607714
FPK,FINSBURY PARK,51.56463546,-0.105867061
FRD,FINCHLEY ROAD,51.54709622,-0.180036141
FYC,FINCHLEY CENTRAL,51.60090327,-0.193206201
GFD,GREENFORD,51.54198011,-0.345864323
GGR,GOLDERS GREEN,51.57221556,-0.194820132
GHL,GANTS HILL,51.57655294,0.066098526
GLR,GOLDHAWK ROAD,51.50207699,-0.227389601
GPK,GREEN PARK,51.5067605,-0.142463169
GPS,GREAT PORTLAND STREET,51.52378881,-0.143947013
GRD,GLOUCESTER ROAD,51.49449958,-0.183529157
GRH,GRANGE HILL,51.61348041,0.09228697
GST,GOODGE STREET,51.52061313,-0.134793279
GUN,GUNNERSBURY,51.49186344,-0.275149734
HAI,HAINAULT,51.60284531,0.094122987
HAW,HARROW AND WEALDSTONE,51.59259467,-0.334238252
HBT,HIGH BARNET,51.65168828,-0.194150928
HBY,HIGHBURY AND ISLINGTON,51.54649552,-0.104067721
HCH,HORNCHURCH,51.55435508,0.218941418
HDN,HILLINGDON,51.55377757,-0.449883572
HIG,HIGHGATE,51.57764663,-0.146920433
HLN,HANGER LANE,51.53007207,-0.292981732
HMD,HAMMERSMITH (DISTRICT AND PICC),51.4918198,-0.222846527
HMP,HAMPSTEAD,51.55654262,-0.178000138
HMS,HAMMERSMITH (MET.),51.49348338,-0.224625755
HNC,HOUNSLOW CENTRAL,51.47092581,-0.365943734
HND,HENDON CENTRAL,51.58313307,-0.22671971
HNE,HOUNSLOW EAST,51.47370794,-0.355260926
HNW,HOUNSLOW WEST,51.47310576,-0.385693233
HOH,HARROW-ON-THE-HILL,51.57938816,-0.336987088
HOL,HOLBORN,51.51723575,-0.119826098
HPC,HYDE PARK CORNER,51.50258403,-0.152459709
HPK,HOLLAND PARK,51.50714651,-0.206543371
HRC,HEATHROW TERMINALS 1 2 3,51.47128946,-0.452392831
HRD,HOLLOWAY ROAD,51.55281612,-0.112921276
HRV,HEATHROW TERMINAL 5,51.47002549,-0.490633109
HSD,HARLESDEN,51.53625836,-0.257481259
HST,HIGH STREET KENSINGTON,51.50072947,-0.191551653
HTF,HEATHROW TERMINAL 4,51.45978048,-0.447715199
HTX,HATTON CROSS,51.46668536,-0.42336617
ICK,ICKENHAM,51.56082511,-0.441565089
KBY,KINGSBURY,51.58487655,-0.278587177
KEN,KENNINGTON,51.48866247,-0.105056213
KEW,KEW GARDENS,51.47678917,-0.285366614
KGN,KENSAL GREEN,51.53052424,-0.22469897
KIL,KILBURN,51.54694446,-0.2046183
KNB,KNIGHTSBRIDGE,51.50135492,-0.160650081
KNT,KENTON,51.58149632,-0.315202437
